abandon,버리다
easy,쉬운
eat,먹다
economic,경제의
economy,경제
edge,가장자리
edit,편집하다
educate,교육하다
education,교육
effect,효과
effective,효과적인
efficient,효율적인
effort,노력
egg,달걀
either,어느 하나; 또한 ~않다
elder,연상의
elect,선출하다
election,선거
electric,전기의
electrical,전기와 관련된
electricity,전기
electronic,전자의
element,요소
elementary,기초의
elephant,코끼리
else,그 밖에
email,이메일
embarrass,당황하게 하다
embrace,포옹하다; 받아들이다
emerge,나타나다
emergency,비상사태
emotion,감정
emotional,감정적인
emphasis,강조
emphasize,강조하다
employ,고용하다
employee,종업원
employer,고용주
employment,고용
empty,빈
enable,가능하게 하다
encounter,우연히 만나다
encourage,격려하다
end,끝; 끝내다
ending,결말
enemy,적
energy,에너지
enforce,시행하다
engage,참여시키다; 종사하다
engine,엔진
engineer,기술자
engineering,공학
enhance,향상시키다
enjoy,즐기다
enormous,거대한
enough,충분한; 충분히
ensure,보장하다
enter,들어가다
entertain,즐겁게 하다
entertainment,오락
enthusiasm,열정
entire,전체의
entirely,완전히
entrance,입구
entry,입장; 항목
environment,환경
environmental,환경의
equal,동등한
equally,동등하게
equipment,장비
error,오류
escape,탈출하다
especially,특히
essential,필수적인
establish,설립하다
estate,재산
estimate,추정하다; 추정
ethics,윤리
evaluate,평가하다
even,심지어; 짝수의
evening,저녁
event,사건; 행사
eventually,결국
ever,언제나; 한 번이라도
every,모든
everybody,모든 사람
everyone,모든 사람
everything,모든 것
everywhere,어디에나
evidence,증거
evil,사악한; 악
exact,정확한
exactly,정확히
examination,시험; 조사
examine,조사하다; 시험하다
example,예
exceed,초과하다
excellent,훌륭한
except,~을 제외하고
exception,예외
exchange,교환하다; 교환
excite,흥분시키다
exciting,신나는
exclude,제외하다
excuse,변명; 용서하다
exercise,운동; 연습
exhibit,전시하다
exist,존재하다
existence,존재
exit,출구; 나가다
expand,확장하다
expect,기대하다
expense,비용
expensive,비싼
experience,경험; 경험하다
experiment,실험
expert,전문가; 전문적인
explain,설명하다
explanation,설명
explode,폭발하다
explore,탐험하다
export,수출하다; 수출
expose,노출시키다
express,표현하다
expression,표현
extend,연장하다; 확장하다
extra,추가의
extreme,극단적인
eye,눈
face,얼굴; 직면하다
facility,시설
fact,사실
factor,요인
factory,공장
fail,실패하다
failure,실패
fair,공정한; 박람회
faith,믿음; 신뢰
fall,떨어지다; 가을
false,거짓의
familiar,익숙한
family,가족
famous,유명한
fan,팬; 선풍기
fantastic,환상적인
far,멀리
farm,농장
farmer,농부
fashion,유행
fast,빠른
fasten,고정시키다
fat,뚱뚱한; 지방
fate,운명
father,아버지
fault,잘못; 결점
favor,호의; 찬성
favorite,가장 좋아하는
fear,두려움; 두려워하다
feature,특징
federal,연방의
fee,요금
feed,먹이를 주다
feel,느끼다
feeling,감정
fellow,동료
female,여성의
fence,울타리
festival,축제
fever,열
few,거의 없는
fiction,소설
field,들판; 분야
fight,싸우다
figure,숫자; 인물
file,파일; 서류철
fill,채우다
film,영화
final,최종의
finally,마침내
finance,재정
financial,재정의
find,찾다
finding,발견
fine,좋은; 벌금
finger,손가락
finish,끝내다
fire,불; 해고하다
firm,회사; 단단한
first,첫 번째
fish,물고기
fit,맞다; 건강한
fix,고치다
flag,깃발
flame,불꽃
flash,번쩍이다
flat,평평한; 아파트
flavor,맛
flee,도망가다
flesh,살
flight,비행
float,뜨다
flood,홍수
floor,바닥; 층
flow,흐르다
flower,꽃
fly,날다
focus,집중하다; 초점
fold,접다
follow,따라가다
food,음식
fool,바보
foot,발
football,축구
forbid,금지하다
force,힘; 강요하다
forecast,예보
foreign,외국의
forest,숲
forever,영원히
forget,잊다
forgive,용서하다
fork,포크
form,형태; 형성하다
formal,공식적인
former,이전의
fortune,행운; 재산
forward,앞으로
found,설립하다
foundation,기초; 재단
free,자유로운; 무료의
freedom,자유
freeze,얼다
frequent,빈번한
fresh,신선한
friend,친구
friendly,친절한
frighten,겁주다
from,~로부터
front,앞; 앞부분
fruit,과일
fuel,연료
full,가득 찬
function,기능
fund,기금
fundamental,기본적인
funeral,장례식
funny,웃기는
furniture,가구
further,더 멀리; 추가의
future,미래
gain,얻다; 증가
galaxy,은하
gallery,미술관
game,경기; 게임
gap,격차; 틈
garage,차고
garbage,쓰레기
garden,정원
gas,가스
gate,문
gather,모으다
general,일반적인; 장군
generally,일반적으로
generate,발생시키다
generation,세대
generous,관대한
genius,천재
gentle,온화한
genuine,진실한
geography,지리
gesture,몸짓
get,얻다
ghost,유령
giant,거대한; 거인
gift,선물
girl,소녀
give,주다
glad,기쁜
glance,흘끗 보다
glass,유리; 유리잔
global,세계적인
globe,지구
glory,영광
glove,장갑
go,가다
goal,목표
god,신
gold,금
golden,금의; 황금빛의
good,좋은
goods,상품
govern,통치하다
government,정부
governor,주지사
grab,붙잡다
grade,학년; 등급
gradual,점진적인
graduate,졸업하다; 졸업생
grain,곡물
grand,웅장한
grandfather,할아버지
grandmother,할머니
grant,허락하다; 보조금
grass,풀
grateful,감사하는
grave,무덤; 심각한
great,위대한
greatly,크게
green,초록색의
greet,인사하다
grocery,식료품
ground,땅; 근거
group,집단
grow,자라다
growth,성장
guarantee,보장하다; 보증
guard,지키다; 경비원
guess,추측하다
guest,손님
guidance,지도
guide,안내하다; 안내자
guilty,죄책감이 있는; 유죄의
habit,습관
habitat,서식지
hair,머리카락
half,절반
hall,복도; 홀
hand,손
handle,다루다
handsome,잘생긴
hang,걸다
happen,일어나다
happy,행복한
hard,어려운; 단단한
hardly,거의 ~않다
harm,해; 해치다
harmful,해로운
harvest,수확
hate,미워하다
have,가지다
head,머리
headline,표제
health,건강
healthy,건강한
hear,듣다
heart,심장; 마음
heat,열
heaven,천국
heavy,무거운
height,높이
help,돕다
helpful,도움이 되는
hence,그러므로
here,여기에
heritage,유산
hero,영웅
hesitate,망설이다
hidden,숨겨진
hide,숨기다
high,높은
highlight,강조하다
highly,매우
highway,고속도로
hill,언덕
hire,고용하다
historic,역사적으로 중요한
historical,역사적인
history,역사
hit,치다; 타격
hold,잡다
hole,구멍
holiday,휴일
hollow,속이 빈
holy,신성한
home,집
honest,정직한
honesty,정직
honor,명예
hope,희망
horrible,끔찍한
horror,공포
horse,말
hospital,병원
host,주최하다; 주인
hot,더운
hotel,호텔
hour,시간
house,집
household,가정
housing,주거
huge,거대한
human,인간의
humorous,유머러스한
humor,유머
hundred,백
hunger,굶주림
hungry,배고픈
hunt,사냥하다
hunter,사냥꾼
hurry,서두르다
hurt,다치다; 상처
husband,남편
hybrid,잡종; 혼합의
hypothesis,가설
hygiene,위생
haste,서두름
hasty,성급한
hatch,부화하다
hatred,증오
hazardous,위험한
heal,치유하다
hearing,청력; 청문
heir,상속인
helmet,헬멧
hedge,울타리
hierarchy,계층
horizon,지평선
horizontal,수평의
horrific,끔찍한
hospitality,환대
habitually,습관적으로
hush,조용히 하다
idea,생각
ideal,이상적인; 이상
identify,확인하다; 동일시하다
identity,정체성
idiom,관용구
idle,게으른; 유휴의
ignore,무시하다
ill,아픈
illegal,불법의
illness,질병
illustrate,설명하다; 삽화 넣다
image,이미지; 모습
imagine,상상하다
immediate,즉각적인
immediately,즉시
impact,영향; 충격
implement,실행하다; 도구
imply,암시하다
import,수입하다; 수입
important,중요한
impose,부과하다
impress,감명을 주다
impression,인상
improve,향상시키다
improvement,향상
incentive,동기; 장려
incident,사건
include,포함하다
income,수입
increase,증가하다; 증가
indeed,정말로
independent,독립적인
index,색인
indicate,나타내다
individual,개인; 개인의
industry,산업
inevitable,불가피한
infect,감염시키다
influence,영향; 영향을 미치다
inform,알리다
information,정보
ingredient,재료
inhabit,거주하다
inherit,상속받다
initial,처음의; 머리글자
initiative,주도권
injure,다치게 하다
injury,부상
inner,내부의
innocent,무죄의; 순진한
innovation,혁신
input,투입; 입력
inquiry,문의; 조사
insist,주장하다
inspect,검사하다
inspire,영감을 주다
install,설치하다
instance,사례
instant,즉각적인
instead,대신에
institute,연구소; 설립하다
instruction,지시; 설명
instrument,도구; 악기
insurance,보험
integrate,통합하다
intellectual,지적인
intelligence,지능
intend,의도하다
intense,강렬한
interest,흥미; 이자
interfere,방해하다
internal,내부의
international,국제적인
interpret,해석하다
interrupt,방해하다
interval,간격
interview,면접; 인터뷰
introduce,소개하다
introduction,소개
invent,발명하다
invention,발명
invest,투자하다
investigate,조사하다
investment,투자
invite,초대하다
involve,포함하다; 관련시키다
iron,철; 다리미
irony,아이러니
irregular,불규칙한
island,섬
issue,문제; 발행하다
item,항목
job,직업
join,가입하다; 합류하다
joint,공동의; 관절
joke,농담
journal,신문; 일지
journalist,기자
journey,여행
joy,기쁨
judge,판사; 판단하다
judgment,판단
juice,주스
jump,뛰다
junior,연소자; 하급의
just,단지; 공정한
justice,정의
justify,정당화하다
jacket,재킷
jail,감옥
jealous,질투하는
jet,제트기
jobless,실업의
jog,조깅하다
jointly,공동으로
jolly,유쾌한
journalism,저널리즘
jungle,정글
junk,쓸모없는 물건
jury,배심원단
justifyable,정당화할 수 있는
juvenile,청소년의
jeopardy,위험
jargon,전문용어
jigsaw,직소퍼즐
jingle,짤랑 소리
jogger,조깅하는 사람
jolt,갑작스런 충격
jovial,쾌활한
judicial,사법의
judicious,현명한
junction,교차점
junkyard,고물 처리장
jeer,조롱하다
jot,간단히 적다
jointure,결합
jubilant,기뻐하는
jubilee,기념제
judiciary,사법부
jest,농담
jockey,기수
jumpy,초조한
justifyingly,정당하게
juvenility,청소년기
jumbled,뒤섞인
juggle,저글링하다
jaw,턱
jeopardize,위태롭게 하다
jinx,재수 없는 사람
jiffy,아주 짧은 시간
jobber,중개상
joyful,기쁜
journalize,기록하다
junctional,연결의
justness,공정성
javelin,창(투창)
jaded,지친
jesting,농담하는
jointed,관절이 있는
junglelike,정글 같은
jawbone,턱뼈
jewelry,보석
jubilance,환희
jug,주전자
jacketed,재킷을 입은
jigsawed,퍼즐처럼 맞춘
jeopardous,위험한
judgmental,판단적인
joyride,무단 드라이브
jukebox,주크박스
jittery,초조한
javelined,창이 있는
justiceable,재판 가능한
jocund,명랑한
jocosity,익살
jingo,호전주의자
jocose,익살스러운
journalese,신문체
juridical,법률의
juvenescence,청춘
keep,유지하다; 계속하다
keen,예리한; 열렬한
key,열쇠; 핵심
keyboard,키보드
kick,차다
kid,아이
kill,죽이다
kind,친절한; 종류
kindness,친절
king,왕
kingdom,왕국
kiss,키스하다
kitchen,부엌
knee,무릎
kneel,무릎 꿇다
knife,칼
knock,두드리다
know,알다
knowledge,지식
known,알려진
knot,매듭
kidnap,납치하다
kilogram,킬로그램
kilometer,킬로미터
kindergarten,유치원
kingdomcome,미래의 이상적 상태
knit,뜨개질하다
knob,손잡이
knockdown,쓰러뜨리다
know-how,노하우; 기술
knowledgeable,지식이 풍부한
keep on,계속 ~하다
keep up,유지하다; 따라가다
keep away,멀리하다
keep in mind,명심하다
kick out,쫓아내다
knock out,기절시키다; 탈락시키다
kind of,약간; 일종의
keep track of,추적하다; 기록하다
keep up with,따라가다
live,살다; 생방송의
life,생명; 삶
library,도서관
language,언어
large,큰
last,마지막의; 지속되다
late,늦은
later,나중에
lately,최근에
laugh,웃다
laughter,웃음
law,법
lawyer,변호사
lay,놓다
lead,이끌다; 납
leader,지도자
leadership,지도력
leaf,잎
learn,배우다
learning,학습
least,가장 적은
leave,떠나다; 남기다
lecture,강의
left,왼쪽; 떠난
legal,법적인
legend,전설
leisure,여가
lend,빌려주다
length,길이
less,더 적은
lesson,수업; 교훈
let,허락하다
letter,편지; 글자
level,수준
library,도서관
license,면허
lid,뚜껑
lie,거짓말; 눕다
life,삶; 생명
lift,들어 올리다
light,빛; 가벼운
like,좋아하다; ~처럼
likely,~할 것 같은
limit,제한
limited,제한된
line,선
link,연결하다
lion,사자
list,목록
listen,듣다
literature,문학
little,작은; 거의 없는
live,살다; 생방송의
load,짐; 싣다
loan,대출
local,지역의
lock,잠그다
logic,논리
logical,논리적인
lonely,외로운
long,긴; 오래
look,보다
lose,잃다
loss,손실
lot,많은; 운
loud,큰 소리의
love,사랑하다
lovely,사랑스러운
low,낮은
luck,행운
lucky,운이 좋은
lunch,점심
lung,폐
luxury,사치
label,라벨; 이름표
lack,부족; 부족하다
ladder,사다리
lady,여성
lake,호수
lamp,램프
land,땅; 착륙하다
landscape,풍경
lastly,마지막으로
launch,출시하다; 발사하다
layer,층
lazy,게으른
lead to,~로 이어지다
leave out,빠뜨리다
look for,찾다
look after,돌보다
look forward to,기대하다
live on,~을 먹고 살다
make,만들다
male,남성의
man,남자
manage,관리하다; 해내다
management,관리
manager,관리자
manner,방식; 태도
manufacture,제조하다
many,많은
map,지도
march,행진하다; 3월
mark,표시; 점수
market,시장
marry,결혼하다
mass,대량; 다수
master,주인; 숙달하다
match,경기; 어울리다
material,재료; 물질
math,수학
matter,문제; 중요하다
maximum,최대의
may,~해도 된다; ~일지도 모른다
maybe,아마
meal,식사
mean,의미하다; 인색한
meaning,의미
means,수단
measure,측정하다; 조치
media,매체
medical,의학의
medicine,약; 의학
medium,중간의; 매체
meet,만나다
meeting,회의
member,구성원
memory,기억
mention,언급하다
message,메시지
method,방법
middle,중간
midnight,자정
might,~일지도 모른다
mile,마일
military,군사의
milk,우유
mind,마음; 꺼리다
mine,나의 것; 광산
minimum,최소의
minister,장관; 목사
minor,사소한; 미성년자
minute,분; 아주 작은
mirror,거울
miss,놓치다; 그리워하다
mission,임무
mistake,실수
mix,섞다
mixture,혼합
mobile,이동식의
model,모델; 모형
modern,현대의
moment,순간
money,돈
monitor,감시하다; 모니터
month,월
mood,기분
moon,달
moral,도덕의
more,더 많은
morning,아침
most,가장 많은
mother,어머니
motion,움직임
motor,모터
mount,오르다
mountain,산
mouth,입
move,움직이다
movement,움직임
movie,영화
much,많은
mud,진흙
multiply,곱하다; 증가시키다
murder,살인하다
muscle,근육
museum,박물관
music,음악
musician,음악가
must,~해야 한다
mystery,신비; 미스터리
myth,신화
name,이름
nation,국가
national,국가의
native,토착의; 모국어의
natural,자연의
nature,자연
navy,해군
near,가까운
nearly,거의
necessary,필요한
necessity,필요; 필수품
neck,목
need,필요; 필요로 하다
negative,부정적인
neighbor,이웃
neighborhood,지역
neither,어느 쪽도 아닌
nerve,신경; 긴장
nervous,긴장한
net,그물; 순수한
network,네트워크
never,결코 ~않다
new,새로운
news,뉴스
newspaper,신문
next,다음의
nice,좋은; 친절한
night,밤
nine,아홉
nineteen,열아홉
ninety,구십
no,아니오; 없는
noble,고귀한
noise,소음
noisy,시끄러운
nominate,지명하다
none,아무도 ~않다
normal,정상적인
north,북쪽
northern,북쪽의
nose,코
not,아니
note,메모; 주목하다
nothing,아무것도 ~않다
notice,알아차리다; 통지
notion,개념
novel,소설; 새로운
now,지금
nowadays,요즘
nuclear,핵의
number,숫자
numerous,수많은
nurse,간호사
nut,견과
nutrition,영양
nationwide,전국적인
narrate,서술하다
narrative,서사
narrow,좁은
nationhood,국가성
native-born,토착의
naturalize,귀화시키다
navigate,항해하다
navigation,항해
nearby,근처의
necessitate,필요로 하다
necklace,목걸이
needle,바늘
neglect,무시하다
negotiate,협상하다
negotiation,협상
neutral,중립의
nevertheless,그럼에도 불구하고
nightmare,악몽
nomination,지명
nonetheless,그럼에도 불구하고
nonprofit,비영리의
normality,정상 상태
northward,북쪽으로
notable,주목할 만한
noticeable,눈에 띄는
notebook,공책
notify,알리다
notorious,악명 높은
novelist,소설가
null,무효의
numberless,무수한
nurture,양육하다
nutrient,영양소
oak,참나무
oar,노
oasis,오아시스
oath,맹세
obey,복종하다
object,물건; 대상; 반대하다
objective,목표; 객관적인
obligation,의무
observation,관찰
observe,관찰하다
obvious,분명한
occasion,경우; 행사
occupy,차지하다
occur,일어나다
ocean,대양
odd,이상한; 홀수의
offer,제공하다; 제안
office,사무실
officer,관리자; 경찰관
official,공식적인
often,자주
oil,기름
old,오래된
olive,올리브
onion,양파
on,~위에
once,한 번; 일단
only,유일한; 단지
open,열다; 열린
opening,개막; 구멍
operate,운영하다; 수술하다
operation,작업; 수술
opinion,의견
opportunity,기회
oppose,반대하다
opposite,반대의
option,선택
order,순서; 주문하다
ordinary,평범한
organ,기관; 오르간
organic,유기적인
organization,조직
organize,조직하다
origin,기원
original,원래의
other,다른
otherwise,그렇지 않으면
ought,~해야 한다
out,밖에
outcome,결과
outline,개요
output,산출
outside,밖에
outstanding,뛰어난
over,~위에; 끝난
overall,전반적인
overcome,극복하다
overlook,간과하다
overnight,하룻밤 사이에
overseas,해외로
overtake,앞지르다
overthrow,타도하다
owe,빚지다
own,자신의; 소유하다
owner,소유자
oxygen,산소
obtain,얻다
obviousness,명백함
occupant,점유자
occupation,직업
occasionally,가끔
offend,불쾌하게 하다
offense,위반; 공격
offensive,공격적인
offspring,자손
omen,징조
onward,앞으로
opaque,불투명한
operate on,수술하다
oppose to,반대하다
opt,선택하다
optimism,낙관주의
optionally,선택적으로
orbital,궤도의
ordeal,시련
outbreak,발생
outdoor,야외의
outdoors,야외에서
outlet,출구; 판매점
outline up,정리하다
outnumber,수적으로 앞서다
outputting,출력하는
over and over,반복해서
overreact,과민반응하다
overwork,과로하다
out of,~밖으로; ~중에서
on behalf of,~을 대신하여
pack,꾸리다; 묶음
package,포장; 소포
page,페이지
pain,고통
paint,그림을 그리다; 칠하다
painting,그림
pair,쌍
palace,궁전
pale,창백한
pan,냄비
panel,판; 위원단
panic,공황
paper,종이
paragraph,단락
parallel,평행의
parent,부모
park,공원; 주차하다
parking,주차
part,부분
participate,참여하다
particular,특정한
partner,동료; 파트너
party,파티; 정당
pass,지나가다; 합격하다
passage,통로; 구절
passenger,승객
passion,열정
past,과거의; 지나간
path,길
patient,환자; 인내심 있는
pattern,패턴; 양식
pause,멈추다; 중단
pay,지불하다
payment,지불
peace,평화
peaceful,평화로운
peak,정점; 산꼭대기
pen,펜
pencil,연필
people,사람들
pepper,후추
per,~당
percent,퍼센트
perfect,완벽한
perform,수행하다; 공연하다
performance,공연; 성과
perhaps,아마도
period,기간; 시기
permanent,영구적인
permission,허락
permit,허락하다
person,사람
personal,개인의
personality,성격
persuade,설득하다
pet,애완동물
phase,단계
phenomenon,현상
philosophy,철학
phone,전화
photo,사진
phrase,구; 구절
physical,물리적인; 신체의
piano,피아노
pick,고르다; 따다
picture,그림; 사진
piece,조각
pilot,조종사
pink,분홍색
place,장소; 놓다
plan,계획
plane,비행기
planet,행성
plant,식물; 심다
plastic,플라스틱
plate,접시
platform,플랫폼
play,놀다; 연극
pleasant,즐거운
please,기쁘게 하다
pleasure,기쁨
plenty,풍부
plus,더하기; ~뿐 아니라
pocket,주머니
poem,시
poet,시인
poetry,시
point,점; 요점
poison,독
policy,정책
polite,예의 바른
political,정치의
pollution,오염
pool,수영장; 웅덩이
poor,가난한; 부족한
popular,인기 있는
population,인구
position,위치; 입장
positive,긍정적인
possess,소유하다
possibility,가능성
possible,가능한
post,우편; 게시하다
postpone,연기하다
pot,냄비
potato,감자
potential,잠재력; 잠재적인
pound,파운드; 두드리다
power,힘
powerful,강력한
practice,연습
practical,실용적인
praise,칭찬하다
pray,기도하다
precise,정확한
predict,예측하다
prefer,선호하다
pregnant,임신한
prepare,준비하다
presence,존재
present,현재의; 선물
preserve,보존하다
press,누르다; 언론
pressure,압력
pretend,~인 척하다
pretty,예쁜; 꽤
prevent,막다
previous,이전의
price,가격
pride,자부심
primary,주요한; 초기의
principle,원칙
print,인쇄하다
prior,이전의
priority,우선순위
private,사적인
prize,상
problem,문제
procedure,절차
process,과정
produce,생산하다
product,제품
production,생산
profession,직업
professional,전문적인
profit,이익
program,프로그램
progress,진행; 발전
project,프로젝트
promise,약속
promote,촉진하다; 승진시키다
proof,증거
proper,적절한
property,재산
protect,보호하다
protest,항의하다
proud,자랑스러운
prove,증명하다
provide,제공하다
public,공공의
publish,출판하다
pull,당기다
punish,처벌하다
purchase,구매하다
pure,순수한
purpose,목적
push,밀다
put,놓다
quality,질; 품질
quantity,양
quarter,1/4; 15분; 지역
